yemek_adi,porsiyon_gram,kalori,protein_g,karbonhidrat_g,yag_g,lif_g
Et Döner,250,239,17.9,17.9,10.6,1.8
Et Fajita,250,371,27.8,27.8,16.5,2.8
Et Haşlama,250,386,28.9,28.9,17.2,2.9
Et Sote,250,320,24.0,24.0,14.2,2.4
Et Stroganoff,250,405,30.4,30.4,18.0,3.0
Etli Barbunya,250,345,25.9,25.9,15.3,2.6
Etli Nohut,250,322,24.1,24.1,14.3,2.4
Etli Taze Fasulye,250,210,15.8,15.8,9.3,1.6
Etli Türlü,250,221,16.6,16.6,9.8,1.7
Etli Yaz Türlüsü,250,221,16.6,16.6,9.8,1.7
Ezme,150,121,3.0,15.1,5.4,1.5
Ezogelin Çorba,250,162,6.1,22.3,5.4,2.2
Fesleğen Soslu Makarna,200,265,6.6,46.4,5.9,4.6
Fırın Köfte,250,358,26.8,26.8,15.9,2.7
Fırın Makarna,200,391,9.8,68.4,8.7,6.8
"Fırın Tavuk (Brokoli, Kırmızı Biber)",250,281,21.1,21.1,12.5,2.1
Fırında Patatesli Hamsi,250,327,24.5,24.5,14.5,2.5
"Fırında Tavuk Pirzola/Brokoli, Kırmızı Biber,Mısır Garnitür",250,413,31.0,31.0,18.4,3.1
Hamburger,250,313,23.5,23.5,13.9,2.4
Hamburger (Patates Kızartması),250,469,35.2,35.2,20.8,3.5
Hamburger /Patates Kızartma,250,469,35.2,35.2,20.8,3.5
Hamburger/Patates Kızartması,250,469,35.2,35.2,20.8,3.5
Hanımağa Çorba,250,192,7.2,26.4,6.4,2.6
Hasanpaşa Köfte,250,384,28.8,28.8,17.1,2.9
Hasanpaşa Köfte (Püreli),250,384,28.8,28.8,17.1,2.9
Hav. Pirinç Pilavı,200,303,7.6,53.0,6.7,5.3
Havuç Dilim Baklava,150,494,6.2,80.3,16.5,8.0
Havuç Tarator,150,158,4.0,19.8,7.0,2.0
Haydari,150,190,4.8,23.8,8.4,2.4
Helva,150,417,5.2,67.8,13.9,6.8
Hünkar Beğendi,250,413,31.0,31.0,18.4,3.1
Islak Kek,150,432,5.4,70.2,14.4,7.0
Ispanak Kavurma,250,200,15.0,15.0,8.9,1.5
Ispanak Yemeği / Yoğurt,250,206,15.4,15.4,9.2,1.5
Izgara Kanat / Brokoli Karnabahar Haşlama,250,495,37.1,37.1,22.0,3.7
Izgara Köfte / Elma Dilim Patates,250,318,23.8,23.8,14.1,2.4
Izgara Tavuk Kanat / Elma Dilim Patates,250,375,28.1,28.1,16.7,2.8
Kabak Dolma,250,366,27.4,27.4,16.3,2.7
"Kabak Mücver (domates,biber)",250,300,22.5,22.5,13.3,2.2
Kabak Tarator,150,128,3.2,16.0,5.7,1.6
Kabak Çorbası,250,114,4.3,15.7,3.8,1.6
Kakaolu Puding,150,203,2.5,33.0,6.8,3.3
Kapuska,250,208,15.6,15.6,9.2,1.6
Karnabahar Pane,250,330,24.8,24.8,14.7,2.5
Karnabahar Pane (yoğurt),250,330,24.8,24.8,14.7,2.5
Karnabahar Pane / Yoğurt,250,330,24.8,24.8,14.7,2.5
Karnıyarık,250,270,20.2,20.2,12.0,2.0
Karışık Dolma (yoğurt),250,343,25.7,25.7,15.2,2.6
Karışık Salata,150,80,2.0,10.0,3.6,1.0
Kayısı / Üzüm Komposto,150,210,2.6,34.1,7.0,3.4
Kaşarlı Domates Çorba,250,183,6.9,25.2,6.1,2.5
Kekikli Fırın Tavuk Pirzola,250,266,19.9,19.9,11.8,2.0
Keşkül,150,273,3.4,44.4,9.1,4.4
Komposto,150,210,2.6,34.1,7.0,3.4
Komposto / Meyve Suyu,150,210,2.6,34.1,7.0,3.4
Komposto /Meyve Suyu,150,210,2.6,34.1,7.0,3.4
Komposto/ Meyve Suyu,150,210,2.6,34.1,7.0,3.4
Kremalı Köri Soslu Tavuk,250,403,30.2,30.2,17.9,3.0
Kremalı Mantar Çorba,250,199,7.5,27.4,6.6,2.7
Kremalı Sebze Çorba,250,141,5.3,19.4,4.7,1.9
Kru. Domates Çorba,250,183,6.9,25.2,6.1,2.5
Krut. Domates Çorba,250,183,6.9,25.2,6.1,2.5
Krutonlu Domates Çorba,250,183,6.9,25.2,6.1,2.5
Kuru Fasulye,250,340,25.5,25.5,15.1,2.6
Kuskus Pilavı,200,317,7.9,55.5,7.0,5.6
Köfteli Avcı Kebabı,250,266,19.9,19.9,11.8,2.0
Köri Soslu Tavuk,250,274,20.6,20.6,12.2,2.1
Köylüm Çorba,250,188,7.0,25.9,6.3,2.6
Köz Biber Çorba,250,202,7.6,27.8,6.7,2.8
Kıbrıs Tatlısı,150,380,4.8,61.8,12.7,6.2
Kısır,150,243,6.1,30.4,10.8,3.0
Kıymalı Bezelye,250,275,20.6,20.6,12.2,2.1
Kıymalı Biber Dolma (Yoğurt),250,318,23.8,23.8,14.1,2.4
Kıymalı Ispanak / Yoğurt,250,316,23.7,23.7,14.0,2.4
Kıymalı Karnabahar Yemeği,250,196,14.7,14.7,8.7,1.5
Kıymalı Patates Oturtma,250,321,24.1,24.1,14.3,2.4
Kıymalı Pırasa,250,180,13.5,13.5,8.0,1.4
Kış Salata,150,80,2.0,10.0,3.6,1.0
Lahana Kapama/ Yoğurt,250,278,20.8,20.8,12.4,2.1
Lavaşlı Adana Köfte,250,325,24.4,24.4,14.4,2.4
Lavaşlı Et Tantuni,250,379,28.4,28.4,16.8,2.8
Lavaşlı Tavuk Tantuni,250,415,31.1,31.1,18.4,3.1
Lebeniye Çorba,250,234,8.8,32.2,7.8,3.2
Macar Gulaş,250,291,21.8,21.8,12.9,2.2
Mahluta Çorba,250,148,5.5,20.4,4.9,2.0
Mandalina,150,80,1.0,17.0,0.9,1.7
Mantarlı Tavuk Sote,250,254,19.1,19.1,11.3,1.9
Meksika Soslu Tavuk,250,317,23.8,23.8,14.1,2.4
Mercimek Salata,150,184,4.6,23.0,8.2,2.3
Mercimek Çorba,250,186,7.0,25.6,6.2,2.6
Mevsim Salata,150,80,2.0,10.0,3.6,1.0
Mevsim Türlü,250,186,13.9,13.9,8.3,1.4
Mevsim salata,150,80,2.0,10.0,3.6,1.0
Meyve,150,80,1.0,17.0,0.9,1.7
Meyve ( Üzüm),150,80,1.0,17.0,0.9,1.7
Meyve (Armut),150,80,1.0,17.0,0.9,1.7
Meyve (Elma),150,80,1.0,17.0,0.9,1.7
Meyve (kavun),150,80,1.0,17.0,0.9,1.7
Meyve (üzüm),150,80,1.0,17.0,0.9,1.7
"Meyve Suyu/ Kayısı, Üzüm Hoşafı",200,210,2.6,34.1,7.0,3.4
Meyve(Portakal),150,80,1.0,17.0,0.9,1.7
Minestrone Çorba,250,287,10.8,39.5,9.6,4.0
Muhallebili Kemalpaşa,150,385,4.8,62.6,12.8,6.3
Muz,150,134,1.7,28.5,1.5,2.9
Muzlu Keşkül,150,340,4.2,55.2,11.3,5.5
Mıs Börülce Salata,150,216,5.4,27.0,9.6,2.7
Mıs. Havuç Salata,150,80,2.0,10.0,3.6,1.0
Mıs. Iceberg Salata,150,80,2.0,10.0,3.6,1.0
Mıs. Pancar Salata,150,112,2.8,14.0,5.0,1.4
Mıs. Pirinç Pilavı,200,303,7.6,53.0,6.7,5.3
"Mısır, Havuç, Kırmızı Lahana Salata",150,80,2.0,10.0,3.6,1.0
Mısırlı Pirinç Pilavı,200,303,7.6,53.0,6.7,5.3
Nap. Soslu Makarna,200,340,8.5,59.5,7.6,6.0
Napoliten Soslu Makarna,200,340,8.5,59.5,7.6,6.0
Nohut Kavurma,250,227,17.0,17.0,10.1,1.7
Nohut Yemeği,250,322,24.1,24.1,14.3,2.4
Nohutlu Pilav Üstü Tavuk,250,336,25.2,25.2,14.9,2.5
Nohutlu Pirinç Pilavı,250,342,25.6,25.6,15.2,2.6
"Nohutlu, Portakallı Kereviz",250,220,16.5,16.5,9.8,1.7
Orman Kebabı,250,358,26.8,26.8,15.9,2.7
Paris Soslu Tavuk,250,430,32.2,32.2,19.1,3.2
"Patates Kızartma, Soğan Halkası",250,299,22.4,22.4,13.3,2.2
Patates Kızartması,200,156,3.9,27.3,3.5,2.7
Patates Kızartması ve Soğan Halkası,250,299,22.4,22.4,13.3,2.2
Patates Kızt. Soğan Halkası,200,299,7.5,52.3,6.6,5.2
Patates Oturtma,250,321,24.1,24.1,14.3,2.4
Patates Salatası,150,214,5.4,26.8,9.5,2.7
Patatesli Gül Böreği,200,367,9.2,64.2,8.2,6.4
Patatesli Kol Böreği,200,367,9.2,64.2,8.2,6.4
Patlıcan Musakka,250,233,17.5,17.5,10.4,1.8
Patlıcanlı Fırın Köfte,250,310,23.2,23.2,13.8,2.3
Pembe Sultan,150,203,2.5,33.0,6.8,3.3
Peynirli Börek,200,389,9.7,68.1,8.6,6.8
Peynirli Gül Böreği,200,389,9.7,68.1,8.6,6.8
Pideli Köfte,250,364,27.3,27.3,16.2,2.7
Pideli Parmak Köfte,250,364,27.3,27.3,16.2,2.7
Pideli Tavuk Kebabı,250,474,35.5,35.5,21.1,3.6
Pilav Üstü Dana Tandır,200,388,9.7,67.9,8.6,6.8
Pilav Üstü Kavurma,250,492,36.9,36.9,21.9,3.7
Pirinç Pilavı,200,324,8.1,56.7,7.2,5.7
Pirinç Çorba,250,165,6.2,22.7,5.5,2.3
Piyaz,150,162,4.0,20.2,7.2,2.0
Portakal,150,101,1.3,21.5,1.1,2.1
Portakallı Noh.Kereviz,250,220,16.5,16.5,9.8,1.7
Portakallı Revani,150,418,5.2,67.9,13.9,6.8
Püreli Hasan Paşa Köfte,250,384,28.8,28.8,17.1,2.9
Püreli Kadınbudu Köfte,250,383,28.7,28.7,17.0,2.9
Püreli Misket Köfte,250,346,25.9,25.9,15.4,2.6
Püreli Rosto Köfte,250,346,25.9,25.9,15.4,2.6
Sahan Köfte,250,244,18.3,18.3,10.8,1.8
Salata,150,80,2.0,10.0,3.6,1.0
Saray Çorba,250,234,8.8,32.2,7.8,3.2
Sarışınım Tatlısı,150,440,5.5,71.5,14.7,7.2
Sebze Graten,250,294,22.1,22.1,13.1,2.2
Sebze Çorba,250,120,4.5,16.5,4.0,1.7
Sebze Şöleni,250,168,12.6,12.6,7.5,1.3
Sebzeli Bulgur Pilavı,200,229,5.7,40.1,5.1,4.0
Sebzeli Makarna,200,230,5.8,40.2,5.1,4.0
Sebzeli Tavuk Sote,250,288,21.6,21.6,12.8,2.2
Sebzeli Çanak Köfte,250,298,22.3,22.3,13.2,2.2
Sebzeli Şehriye Çorba,250,230,8.6,31.6,7.7,3.2
Sevgi Tatlısı,150,348,4.4,56.6,11.6,5.7
Soslu Brownie,150,422,5.3,68.6,14.1,6.9
Soslu Köfte(Patates Kzt),250,367,27.5,27.5,16.3,2.8
Soslu Makarna,200,306,7.7,53.5,6.8,5.4
Soslu Misket Köfte,250,423,31.7,31.7,18.8,3.2
"Soslu Tavuk Kanat / Sebze Garnitür (patates, havuç, bezelye)",250,495,37.1,37.1,22.0,3.7
Soslu Tavuk Külbastı / Elma Dilim Patates,250,421,31.6,31.6,18.7,3.2
Soğuk Baklava,150,506,6.3,82.2,16.9,8.2
Su Böreği,200,300,7.5,52.5,6.7,5.2
Sütlü İrmik Tatlısı,150,262,3.3,42.6,8.7,4.3
Süzme Mercimek Çorba,250,186,7.0,25.6,6.2,2.6
Tandır Çorba,250,154,5.8,21.2,5.1,2.1
Tarhana Çorba,250,151,5.7,20.8,5.0,2.1
Tarhana Çorbası,250,151,5.7,20.8,5.0,2.1
Tas Kebabı,250,371,27.8,27.8,16.5,2.8
Tavuk But/Pat. Kızartma,250,378,28.3,28.3,16.8,2.8
Tavuk Büryan,250,360,27.0,27.0,16.0,2.7
Tavuk Döner,250,289,21.7,21.7,12.8,2.2
Tavuk Döner / Elma Dilim Patates,250,275,20.6,20.6,12.2,2.1
Tavuk Fajita,250,280,21.0,21.0,12.4,2.1
Tavuk Fajıta,250,352,26.4,26.4,15.6,2.6
Tavuk Haşlama,250,404,30.3,30.3,18.0,3.0
Tavuk Köfte/ Elma Dilimli Patates,250,301,22.6,22.6,13.4,2.3
Tavuk Külbastı,250,281,21.1,21.1,12.5,2.1
Tavuk Külbastı / Sebze Sote,250,374,28.0,28.0,16.6,2.8
Tavuk Pane / Baharatlı Patates,250,464,34.8,34.8,20.6,3.5
Tavuk Pane / Elma Dilim Patates,250,464,34.8,34.8,20.6,3.5
Tavuk Pane / ElmaDilim Patates,250,464,34.8,34.8,20.6,3.5
Tavuk Pirzola/ Sebze Haşlama,250,333,25.0,25.0,14.8,2.5
Tavuk Suyu Çorba,250,175,6.6,24.1,5.8,2.4
Tavuk Çorba,250,175,6.6,24.1,5.8,2.4
Tavuk Şiş ( Elma Dili Patates),250,375,28.1,28.1,16.7,2.8
Tavuk Şiş Dürüm,250,395,29.6,29.6,17.6,3.0
Tavuklu Şehriye Çorba,250,232,8.7,31.9,7.7,3.2
Taze Fasulye,250,232,17.4,17.4,10.3,1.7
Tel Şehriye Çorba,250,230,8.6,31.6,7.7,3.2
Tepsi Köfte / Brokoli Karnabahar Havuç Haşlama,250,337,25.3,25.3,15.0,2.5
Terbiyeli Tavuk Çorba,250,175,6.6,24.1,5.8,2.4
Tiramisu,150,385,4.8,62.6,12.8,6.3
Toyga Çorba,250,179,6.7,24.6,6.0,2.5
Trileçe,150,326,4.1,53.0,10.9,5.3
Tulumba Tatlısı,150,341,4.3,55.4,11.4,5.5
Turşu,150,14,0.4,1.8,0.6,0.2
"Uskumru Fileto Kızartma / Roka,Tere, Soğan Söğüş",250,397,29.8,29.8,17.6,3.0
Vezir Parmağı,150,359,4.5,58.3,12.0,5.8
Yayla Çorba,250,156,5.8,21.5,5.2,2.1
Yeşil Mercimek Çorba,250,182,6.8,25.0,6.1,2.5
Yeşil Mercimekli Bulgur Pilavı,200,261,6.5,45.7,5.8,4.6
Yoğ. Semizotu Salata,150,128,3.2,16.0,5.7,1.6
Yoğurt,150,112,2.8,14.0,5.0,1.4
Yoğurt Çorba,250,174,6.5,23.9,5.8,2.4
Yoğurtlu Mantı Makarna,200,235,5.9,41.1,5.2,4.1
Yoğurtlu Semizotu Salata,150,128,3.2,16.0,5.7,1.6
Yufkalı Tavuk Sarma,250,325,24.4,24.4,14.4,2.4
Yumurtalı Ispanak,250,230,17.2,17.2,10.2,1.7
Zyt Barbunya,250,356,26.7,26.7,15.8,2.7
Zyt. Bamya,250,108,8.1,8.1,4.8,0.8
Zyt. Barbunya,250,356,26.7,26.7,15.8,2.7
Zyt. Taze Fasulye,250,118,8.8,8.8,5.2,0.9
Zyt.Barbunya,250,356,26.7,26.7,15.8,2.7
Zyt.Taze Fasulye,250,232,17.4,17.4,10.3,1.7
Çiftlik Kebabı,250,326,24.4,24.4,14.5,2.4
Çiftlik Kebap,250,286,21.4,21.4,12.7,2.1
Çiftlik Köfte,250,360,27.0,27.0,16.0,2.7
Çin Salatası,150,104,2.6,13.0,4.6,1.3
Çin Usulü Tavuk,250,251,18.8,18.8,11.2,1.9
Çoban Kavurma,250,332,24.9,24.9,14.8,2.5
Çoban Salata,150,80,2.0,10.0,3.6,1.0
Çökertme Kebabı,250,502,37.6,37.6,22.3,3.8
Çıtır Tavuk Paget / Baharatlı Patates,250,512,38.4,38.4,22.8,3.8
İncirli Keşkül,150,313,3.9,50.9,10.4,5.1
İnegöl Köfte / Piyaz,250,326,24.4,24.4,14.5,2.4
İrmik Helvası,150,443,5.5,72.0,14.8,7.2
İslim Köfte,250,308,23.1,23.1,13.7,2.3
İsveç Köfte / Sebze Garnitür,250,362,27.1,27.1,16.1,2.7
İzmir Köfte,250,321,24.1,24.1,14.3,2.4
İç Pilav,200,382,9.6,66.8,8.5,6.7
İçli Köfte,250,326,24.4,24.4,14.5,2.4
Şakşuka,250,250,18.8,18.8,11.1,1.9
Şalgam/ Meyve Suyu,200,5,0.2,0.8,0.1,0.1
Şeh Pirinç Pilavı,200,242,6.1,42.3,5.4,4.2
Şeh. Bulgur Pilavı,200,266,6.7,46.5,5.9,4.7
Şeh. Pirinç Pilavı,200,342,8.6,59.8,7.6,6.0
Şeh.Pirinç Pilavı,200,342,8.6,59.8,7.6,6.0
Şehriye Pilavı,200,300,7.5,52.5,6.7,5.2
Şehriye Çorba,250,230,8.6,31.6,7.7,3.2
Şehriyeli Bulgur Pilavı,200,266,6.7,46.5,5.9,4.7
Şehriyeli Kuskus Pilavı,200,317,7.9,55.5,7.0,5.6
Şehriyeli Pirinç Pilavı,200,342,8.6,59.8,7.6,6.0
Şekerpare,150,408,5.1,66.3,13.6,6.6
Şinitzel Burger,250,427,32.0,32.0,19.0,3.2
Şinitzel/ Patates Kızartma,250,363,27.2,27.2,16.1,2.7
Şintitzel Burger,250,427,32.0,32.0,19.0,3.2
Bardak Limonata,200,100,3.8,15.0,2.8,1.5
Fırında Sebzeli Special But,250,321,24.1,24.1,14.3,2.4
Kalburabastı,150,328,4.1,53.3,10.9,5.3
Kazandibi,150,320,4.0,52.0,10.7,5.2
Komposto / Şalgam,150,210,2.6,34.1,7.0,3.4
Patates ve Soğan Halkası,200,299,7.5,52.3,6.6,5.2
Peynirli Börek,200,389,0,0,0,0.0
Püreli Dalyan Köfte,250,360,27.0,27.0,16.0,2.7
"Tatlı, Acı Soslu Tavuk",250,250,18.8,18.8,11.1,1.9
"Tavuk Baget/ Dom,Biber",250,312,23.4,23.4,13.9,2.3
Tavuk Döner / Fırında Patates,250,359,26.9,26.9,16.0,2.7
Tavuk Kavurma,250,333,25.0,25.0,14.8,2.5
