tarih,gun,corba,ana_yemek,pilav_makarna,tatli,salata,ek_bilgi
2025-10-02,Perşembe,Mercimek Çorba,Patlıcan Musakka,Şehriyeli Kuskus Pilavı,Sarışınım Tatlısı,,
2025-10-03,Cuma,Brokoli Çorba,Çoban Kavurma,Pirinç Pilavı,,Meyve,
2025-10-06,Pazartesi,Şehriye Çorba,Lavaşlı Tavuk Tantuni,Bulgur Pilavı,,Ayran,
2025-10-07,Salı,Köz Biber Çorba,Püreli Rosto Köfte,Mıs. Pirinç Pilavı,,Mevsim Salata,
2025-10-08,Çarşamba,Düğün Çorba,Mevsim Türlü,Erişte,Tiramisu,,
2025-10-09,Perşembe,Ezogelin Çorba,Et Haşlama,Şehriyeli Pirinç Pilavı,,Meyve,
2025-10-10,Cuma,Mercimek Çorba,Kabak Dolma,Patatesli Kol Böreği,Komposto / Meyve Suyu,,
2025-10-13,Pazartesi,Terbiyeli Tavuk Çorba,Nohut Yemeği,Şehriyeli Pirinç Pilavı,,Turşu,
2025-10-14,Salı,Mahluta Çorba,İsveç Köfte / Sebze Garnitür,Bulgur Pilavı,,Yoğurt,
2025-10-15,Çarşamba,Alaca Çorba,Çıtır Tavuk Paget / Baharatlı Patates,Şehriye Pilavı,,Meyve,
2025-10-16,Perşembe,Mercimek Çorba,Akdeniz Usulü Ispanak,Nap. Soslu Makarna,Trileçe,,
2025-10-17,Cuma,Kremalı Sebze Çorba,Tas Kebabı,Pirinç Pilavı,,Karışık Salata,
2025-10-20,Pazartesi,Ezogelin Çorba,"Fırında Tavuk Pirzola/Brokoli, Kırmızı Biber,Mısır Garnitür",Pirinç Pilavı,,Mevsim Salata,
2025-10-21,Salı,Yayla Çorba,Patates Oturtma,Yeşil Mercimekli Bulgur Pilavı,Şekerpare,,
2025-10-22,Çarşamba,Arabaşı Çorba,Hamburger/Patates Kızartması,Soslu Makarna,,Ayran,
2025-10-23,Perşembe,Mercimek Çorba,Bahçıvan Kebabı,Şehriyeli Bulgur Pilavı,,Meyve,
2025-10-24,Cuma,Köylüm Çorba,Karnabahar Pane / Yoğurt,Su Böreği,Komposto / Meyve Suyu,,
2025-10-27,Pazartesi,Mercimek Çorba,Et Fajita,Şehriyeli Pirinç Pilavı,,Haydari,
2025-10-30,Perşembe,Krut. Domates Çorba,Taze Fasulye,Şehriyeli Pirinç Pilavı,,Yoğurt,
2025-10-31,Cuma,Tarhana Çorba,Paris Soslu Tavuk,Soslu Makarna,,Meyve,
2025-11-03,Pazartesi,Saray Çorba,Kuru Fasulye,Şeh. Pirinç Pilavı,,Turşu,
2025-11-04,Salı,Mercimek Çorba,Paris Soslu Tavuk,Soslu Makarna,,Mevsim Salata,
2025-11-05,Çarşamba,Brokoli Çorba,Pideli Köfte,Bulgur Pilavı,Kıbrıs Tatlısı,,
2025-11-06,Perşembe,Sebzeli Şehriye Çorba,Çökertme Kebabı,Pirinç Pilavı,,Meyve,
2025-11-07,Cuma,Ezogelin Çorba,Kıymalı Ispanak / Yoğurt,Fırın Makarna,Komposto / Meyve Suyu,,
2025-11-10,Pazartesi,Krutonlu Domates Çorba,Tavuk Büryan,Zyt. Taze Fasulye,,Ayran,
2025-11-11,Salı,Mahluta Çorba,Etli Türlü,Şeh. Pirinç Pilavı,,Meyve,
2025-11-12,Çarşamba,Yayla Çorba,Dana Navarin,Bulgur Pilavı,,"Mısır, Havuç, Kırmızı Lahana Salata",
2025-11-13,Perşembe,Ezogelin Çorba,Sebze Graten,Bolonez Soslu Makarna,Balbadem Tatlısı,,
2025-11-14,Cuma,Kremalı Mantar Çorba,İzmir Köfte,Pirinç Pilavı,Pembe Sultan,,
2025-11-17,Pazartesi,Köz Biber Çorba,Orman Kebabı,Şeh Pirinç Pilavı,,Haydari,
2025-11-18,Salı,Mercimek Çorba,Hamburger /Patates Kızartma,Soslu Makarna,,Ayran,
2025-11-19,Çarşamba,Kremalı Sebze Çorba,"Uskumru Fileto Kızartma / Roka,Tere, Soğan Söğüş",Beşamelli Fırın Patates,Helva,,
2025-11-20,Perşembe,Terbiyeli Tavuk Çorba,Bezelye Yemeği,Bulgur Pilavı,Cevizli Kalburabastı,,
2025-11-21,Cuma,Hanımağa Çorba,Lahana Kapama/ Yoğurt,Patatesli Kol Böreği,Komposto / Meyve Suyu,,
2025-11-24,Pazartesi,Mahluta Çorba,Etli Nohut,Bulgur Pilavı,Trileçe,,
2025-11-25,Salı,Krutonlu Domates Çorba,Tavuk Pane / ElmaDilim Patates,Soslu Makarna,,Karışık Salata,
2025-11-26,Çarşamba,Köylüm Çorba,Püreli Misket Köfte,Şeh. Pirinç Pilavı,,Cacık,
2025-11-27,Perşembe,Tandır Çorba,"Nohutlu, Portakallı Kereviz",Erişte,,Meyve,
2025-11-28,Cuma,Mercimek Çorba,Arnavut Ciğer /May. Roka Soğan Söğüş,İç Pilav,,Ayran,
2025-12-01,Pazartesi,Mercimek Çorba,Et Sote,Bulgur Pilavı,,Meyve,
2025-12-02,Salı,Ezogelin Çorba,Sahan Köfte,Şehriyeli Pirinç Pilavı,,Yoğurt,
2025-12-03,Çarşamba,Düğün Çorba,Taze Fasulye,Erişte,Soğuk Baklava,,
2025-12-04,Perşembe,Tarhana Çorba,Barbekü Soslu Tavuk,Kuskus Pilavı,,Haydari,
2025-12-05,Cuma,Şehriye Çorba,Kıymalı Pırasa,Pirinç Pilavı,Kakaolu Puding,,
2025-12-08,Pazartesi,Krut. Domates Çorba,Ankara Tava,Zyt. Bamya,,Yoğurt,
2025-12-09,Salı,Köylüm Çorba,Tavuk Haşlama,Şeh. Pirinç Pilavı,,Mevsim Salata,
2025-12-10,Çarşamba,Mercimek Çorba,Sebzeli Çanak Köfte,Bulgur Pilavı,,Meyve,
2025-12-11,Perşembe,Kremalı Mantar Çorba,Patates Oturtma,Pirinç Pilavı,Sevgi Tatlısı,,
2025-12-12,Cuma,Arabaşı Çorba,Ispanak Yemeği / Yoğurt,Su Böreği,Komposto / Meyve Suyu,,
2025-12-15,Pazartesi,Mahluta Çorba,Kuru Fasulye,Şehriyeli Pirinç Pilavı,,Turşu,
2025-12-16,Salı,Kabak Çorbası,Hamburger,Patates Kızartması ve Soğan Halkası,,Ayran,
2025-12-17,Çarşamba,Hanımağa Çorba,Lavaşlı Et Tantuni,Şeh. Bulgur Pilavı,,Meyve,
2025-12-18,Perşembe,Mercimek Çorba,"Soslu Tavuk Kanat / Sebze Garnitür (patates, havuç, bezelye)",Mısırlı Pirinç Pilavı,Helva,,
2025-12-19,Cuma,Yayla Çorba,Kıymalı Karnabahar Yemeği,Soslu Makarna,Brownie,,
2025-12-22,Pazartesi,Ezogelin Çorba,Pideli Tavuk Kebabı,Pirinç Pilavı,,Meyve,
2025-12-23,Salı,Tarhana Çorbası,Et Stroganoff,Napoliten Soslu Makarna,,Ayran,
2025-12-24,Çarşamba,Mercimek Çorba,Mevsim Türlü,Bulgur Pilavı,Trileçe,,
2025-12-25,Perşembe,Toyga Çorba,Köfteli Avcı Kebabı,Şeh. Pirinç Pilavı,,Mevsim Salata,
2025-12-26,Cuma,Şehriye Çorba,Kapuska,Patatesli Gül Böreği,Komposto/ Meyve Suyu,,
2025-12-29,Pazartesi,Saray Çorba,Etli Barbunya,Bulgur Pilavı,Ekler,,
2025-12-30,Salı,Ezogelin Çorba,Izgara Köfte / Elma Dilim Patates,Soslu Makarna,,Coleslow Salata,
2025-12-31,Çarşamba,Mercimek Çorba,Sebzeli Tavuk Sote,Pirinç Pilavı,,Ayran,
2026-01-02,Cuma,Tandır Çorba,Portakallı Noh.Kereviz,Soslu Makarna,,Meyve,
2026-01-05,Pazartesi,Mahluta Çorba,Nohut Yemeği,Şeh. Pirinç Pilavı,,Cacık,
2026-01-06,Salı,Krut. Domates Çorba,Etli Taze Fasulye,Kuskus Pilavı,Komposto /Meyve Suyu,,
2026-01-07,Çarşamba,Brokoli Çorba,İzmir Köfte,Mısırlı Pirinç Pilavı,,Muz,
2026-01-08,Perşembe,Ezogelin Çorba,Şinitzel Burger,,,Patates Salatası,
2026-01-09,Cuma,Domates Çorba,Tas Kebabı,Bulgur Pilavı,,Havuç Tarator,
2026-01-12,Pazartesi,Minestrone Çorba,Tavuk Döner,Pirinç Pilavı,,Ayran,
2026-01-13,Salı,Ezogelin Çorba,Mevsim Türlü,Bulgur Pilavı,,Mandalina,
2026-01-14,Çarşamba,Toyga Çorba,Püreli Hasan Paşa Köfte,Cevizli Erişte,,Cacık,
2026-01-15,Perşembe,Arabaşı Çorba,Yumurtalı Ispanak,Yoğurtlu Mantı Makarna,Islak Kek,,
2026-01-16,Cuma,Süzme Mercimek Çorba,Et Fajita 371,Mısırlı Pirinç Pilavı,,Salata,
2026-01-19,Pazartesi,Tarhana Çorba,Kıymalı Bezelye,Bulgur Pilavı,,Yoğurt,
2026-01-20,Salı,Ezogelin Çorba,Tavuk Külbastı,Napoliten Soslu Makarna,,Mevsim Salata,
2026-01-21,Çarşamba,Tel Şehriye Çorba,Et Döner,Pirinç Pilavı,,Ayran,
2026-01-22,Perşembe,Sebze Çorba,Çiftlik Köfte,Erişte,,Portakal,
2026-01-23,Cuma,Süzme Mercimek Çorba,Kuru Fasulye,Şehriyeli Pirinç Pilavı,Sütlü İrmik Tatlısı,,
2026-01-26,Pazartesi,Terbiyeli Tavuk Çorba,Kıymalı Patates Oturtma,Şehriyeli Pirinç Pilavı,,Cacık,
2026-01-27,Salı,Ezogelin Çorba,"Fırın Tavuk (Brokoli, Kırmızı Biber)",Beşamelli Fırın Patates,Cevizli Kabak Tatlısı,,
2026-01-28,Çarşamba,Domates Çorba,Orman Kebabı,Bulgur pilavı,,Mevsim Salata,
2026-01-29,Perşembe,Kremalı Mantar Çorba,Fırın Köfte,Pirinç Pilavı,,Elma,
2026-01-30,Cuma,Mahluta Çorba,Karnabahar Pane,Fırın Makarna,,Yoğurt,
2026-02-02,Pazartesi,Tarhana Çorba,Kuru Fasulye,Şehriyeli Pirinç Pilavı,Havuç Dilim Baklava,,
2026-02-03,Salı,Kremalı Mantar Çorba,Tavuk Pane / Elma Dilim Patates,Soslu Makarna,,Ayran,
2026-02-04,Çarşamba,Mercimek Çorba,Çökertme Kebabı,Bulgur Pilavı,,Meyve,
2026-02-05,Perşembe,Köylüm Çorba,Sahan Köfte,Nohutlu Pirinç Pilavı,,Karışık Salata,
2026-02-06,Cuma,Krut. Domates Çorba,Şinitzel/ Patates Kızartma,Su Böreği,Komposto/ Meyve Suyu,,
2026-02-09,Pazartesi,Mahluta Çorba,Etli Taze Fasulye,Pirinç Pilavı,,Haydari,
2026-02-10,Salı,Yayla Çorba,Barbekü Soslu Tavuk,Sebzeli Makarna,,Meyve,
2026-02-11,Çarşamba,Köz Biber Çorba,Orman Kebabı,Bulgur Pilavı,,Mevsim Salata,
2026-02-12,Perşembe,,Ekmek arası Balık/Soğan Söğüş,,Helva,Karışık Salata,
2026-02-13,Cuma,Mercimek Çorba,Tepsi Köfte / Brokoli Karnabahar Havuç Haşlama,Şehriyeli Pirinç Pilavı,,Yoğurt,
2026-02-16,Pazartesi,Ezogelin Çorba,Çiftlik Kebabı,Bulgur Pilavı,Islak Kek,,
2026-02-17,Salı,Alaca Çorba,Tavuk Pirzola/ Sebze Haşlama,Peynirli Gül Böreği,Komposto/ Meyve Suyu,,
2026-02-18,Çarşamba,Mercimek Çorba,Nohut Yemeği,Şehriyeli Pirinç Pilavı,Şekerpare,,
2026-02-19,Perşembe,Hanımağa Çorba,Hamburger,Patates Kızt. Soğan Halkası,,Ayran,
2026-02-20,Cuma,Sebze Çorba,Dürüm Tavuk Tantuni,Soslu Makarna,,Meyve,
2026-02-23,Pazartesi,Mahluta Çorba,Tavuk But/Pat. Kızartma,Erişte,Komposto /Meyve Suyu,,
2026-02-24,Salı,Brokoli Çorba,İçli Köfte,Zyt.Barbunya,,Cacık,
2026-02-25,Çarşamba,Tarhana Çorba,Sebze Graten,Bolonez Soslu Makarna,Trileçe,,
2026-02-26,Perşembe,Krut. Domates Çorba,Tavuk Fajita,Şehriyeli Pirinç Pilavı,,Meyve,
2026-02-27,Cuma,Mercimek Çorba,Pilav Üstü Kavurma,,,Ayran,
2026-03-02,Pazartesi,Ezogelin Çorba,Etli Taze Fasulye,Erişte,Kakaolu Puding,,
2026-03-03,Salı,Yeşil Mercimek Çorba,Mantarlı Tavuk Sote,Şehriyeli Pirinç Pilavı,,Mevsim Salata,
2026-03-04,Çarşamba,Krutonlu Domates Çorba,Lavaşlı Et Tantuni,Bulgur Pilavı,,Ayran,
2026-03-05,Perşembe,Toyga Çorba,Mevsim Türlü,Su Böreği,Komposto / Meyve Suyu,,
2026-03-06,Cuma,Şehriye Çorba,Pideli Parmak Köfte,Pirinç Pilavı,,Meyve(Portakal),
2026-03-09,Pazartesi,Kremalı Mantar Çorba,Izgara Kanat / Brokoli Karnabahar Haşlama,Pirinç Pilavı,Pembe Sultan,,
2026-03-10,Salı,Mercimek Çorba,Çoban Kavurma,Bulgur Pilavı,,Cacık,
2026-03-11,Çarşamba,Pirinç Çorba,Soslu Tavuk Külbastı / Elma Dilim Patates,Şehriye Pilavı,Tiramisu,,
2026-03-12,Perşembe,Tarhana Çorba,Soslu Misket Köfte,Şehriyeli Pirinç Pilavı,,Karışık Salata,
2026-03-13,Cuma,Mahluta Çorba,Fırında Patatesli Hamsi,Zyt. Barbunya,Helva,,
2026-03-16,Pazartesi,Ezogelin Çorba,Kuru Fasulye,Şehriyeli Pirinç Pilavı,,Turşu,
2026-03-17,Salı,Brokoli Çorba,Izgara Köfte / Elma Dilim Patates,Soslu Makarna,,Meyve (Elma),
2026-03-18,Çarşamba,Köz Biber Çorba,Tavuk Döner,Bulgur Pilavı,,Ayran,
2026-03-23,Pazartesi,Tarhana Çorba,Nohut Yemeği,Şehriyeli Pirinç Pilavı,Cevizli Baklava,,
2026-03-24,Salı,Krutonlu Domates Çorba,Tavuk Haşlama,Bulgur Pilavı,,Karışık Salata,
2026-03-25,Çarşamba,Alaca Çorba,Hamburger,"Patates Kızartma, Soğan Halkası",,Ayran,
2026-03-26,Perşembe,Şehriye Çorba,Çiftlik Kebap,Pirinç Pilavı,Keşkül,,
2026-03-27,Cuma,Mercimek Çorba,Akdeniz Usulü Ispanak,Yoğurtlu Mantı Makarna,,Meyve (Armut),
2026-03-30,Pazartesi,Ezogelin Çorba,Köri Soslu Tavuk,Soslu Makarna,,Havuç Tarator,
2026-03-31,Salı,Yayla Çorba,Patates Oturtma,Şehriyeli Pirinç Pilavı,Kıbrıs Tatlısı,,
